ID	県名（日本語）	県名（英語）	県名（タイ語）	地方区分	ISO 3166-2	県標語（タイ語）	県標語（日本語訳）	県木（タイ語）	県花（タイ語・候補）	県章説明（英語資料）	県章説明（日本語要約）	象徴文化・産業	代表的地形	隣接県	県標語・県木出典URL	県花出典URL	県章出典URL	確認状態	精査メモ
36	ルーイ	Loei	เลย	東北部	TH-42	เมืองแห่งทะเลภูเขา สุดหนาวในสยาม ดอกไม้งามสามฤดู ถิ่นที่อยู่อริยสงฆ์ มั่นคงความสะอาด		สนสามใบ	ดอกรองเท้านารีเหลืองเลย	The stupa at Phra That Si Song Rak built by King Maha Chakkraphat of the Ayutthaya Kingdom , and King Setthathirath of Lan Xang in the 16th century marking the friendship between the two kingdoms.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
37	ムックダーハーン	Mukdahan	มุกดาหาร	東北部	TH-49	องค์พระใหญ่ สวยเด่น เป็นสง่า สูงเสียดฟ้า หอแก้วมุกดาหาร พญานาค 3 พิภพ ระบือนามทั่วเขตคาม สะพานเชื่อมอินโดจีน		ช้างนาว	ดอกช้างน้าว	Prasart Song Nang Sathit palace, in which an opal is displayed on a phan (tray) .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
38	ウドーンターニー	Udon Thani	อุดรธานี	東北部	TH-41	กรมหลวงประจักษ์สร้างเมือง ลือเลื่องแหล่งธรรมะ อารยธรรมห้าพันปี ธานีผ้าหมี่ขิด ธรรมชาติเนรมิตทะเลบัวแดง แรงศรัทธาศรีสุทโธปทุมมาคำชะโนด		รัง	ดอกทองกวาว	A Yak ( Yaksha ) in honor of Kuvera (aka. Vaiśravaṇa ), the guardian of north direction in Buddhist mythology.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
39	カーラシン	Kalasin	กาฬสินธุ์	東北部	TH-46	หลวงพ่อองค์ดำลือเลื่อง เมืองฟ้าแดดสงยาง โปงลางเลิศล้ำ วัฒนธรรมผู้ไทย ผ้าไหมแพรวา ผาเสวยภูพาน มหาธารลำปาว ไดโนเสาร์สัตว์โลกล้านปี		มะหาด	ดอกพะยอม	The seal of the province shows a pond, in the background the Phu Phan Mountains forming the boundary of the province and stylized clouds in the sky. The water in the pond is black, for the name Kalasin means "black water". The big clouds as well as the water symbolize the fertility of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
40	コーンケーン	Khon Kaen	ขอนแก่น	東北部	TH-40	พระธาตุขามแก่น เสียงแคนดอกคูน ศูนย์รวมผ้าไหม ร่วมใจผูกเสี่ยว เที่ยวขอนแก่นนครใหญ่ ไดโนเสาร์สิรินธรเน่ สุดเท่เหรียญทองแรกมวยโอลิมปิก		กัลปพฤกษ์	ดอกราชพฤกษ์	The stupa of Phra That Kham Kaen, which is believed to contain relics of Buddha . Two trees are depicted on both sides, one is a banyan tree ( Ficus benghalensis ), the other a Golden Shower Tree ( Cassia fistula ).					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
41	アムナートチャルーン	Amnat Charoen	อำนาจเจริญ	東北部	TH-37	พระมงคลมิ่งเมือง แหล่งรุ่งเรืองเจ็ดลุ่มน้ำ งามล้ำถ้ำศักดิ์ เทพนิมิตพระเหลา เกาะแก่งเขาแสนสวย เลอค่าด้วยผ้าไหม ราษฎร์เลื่อมใสใฝ่ธรรม		ตะเคียนหิน	ดอกทองกวาว	This seal shows the 20 metres (66 ft) high Buddha-Statue Phra Mongkhon Ming Mueang that stands in the provincial capital Amnat Charoen .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
42	ウボンラーチャターニー	Ubon Ratchathani	อุบลราชธานี	東北部	TH-34	เมืองดอกบัวงาม แม่น้ำสองสี มีปลาแซ่บหลาย หาดทรายแก่งหิน ถิ่นไทยนักปราชญ์ ทวยราษฎร์ใฝ่ธรรม งามล้ำเทียนพรรษา ผาแต้มก่อนประวัติศาสตร์ ฉลาดภูมิปัญญาท้องถิ่น ดินแดนอนุสาวรีย์คนดีศรีอุบล		ยางนา	ดอกบัวหลวง	A lotus flower in a pond in reference to the meaning of the name of the province, ‘Royal City of the Lotus Flower’.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
43	ヤソートーン	Yasothon	ยโสธร	東北部	TH-35	เมืองบั้งไฟโก้ แตงโมหวาน หมอนขวานผ้าขิด แหล่งผลิตข้าวหอมมะลิ		กระบาก	ดอกบัวแดง	Two mythical lions, called singh , facing the chedi Phra That A-non (named for Ananda , a devout attendant of Gautama Buddha ), in the temple Wat Maha That in the city of Yasothon					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
44	ローイエット	Roi Et	ร้อยเอ็ด	東北部	TH-45	สิบเอ็ดประตูเมืองงาม เรืองนามพระสูงใหญ่ ผ้าไหมสาเกต บุญผะเหวดประเพณี มหาเจดีย์ชัยมงคล งามน่ายลบึงพลาญชัย เขตกว้างไกลทุ่งกุลา โลกลือชาข้าวหอมมะลิ		กระบก	ดอกอินทนิล	The shrine of the city pillar (Lak Mueang), which is located in the artificial lake Bueng Phlan Chai . The spirit of the shrine, Mahesak, is highly revered by the local people.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
45	マハーサーラカーム	Maha Sarakham	มหาสารคาม	東北部	TH-44	พุทธมณฑลอีสาน ถิ่นฐานอารยธรรม ผ้าไหมล้ำเลอค่า ตักศิลานคร		พฤกษ์	ดอกลั่นทมขาว	A big tree in front of big rice fields, symbolizing the richness of resources in the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
46	チャイヤプーム	Chaiyaphum	ชัยภูมิ	東北部	TH-36	กำเนิดแม่น้ำชี สดุดีพญาแลผู้กล้า ปรางค์กู่เป็นสง่า ล้ำค่าพระธาตุชัยภูมิ สมบูรณ์ป่าเขาสรรพสัตว์ เด่นชัดลายผ้าไหม ดอกกระเจียวงามลือไกล อารยธรรมไทยทวารวดี		ขี้เหล็กบ้าน	ดอกกระเจียว	Dvaja , the flag, an ancient Hindu symbol of victory in battle					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
47	ナコーンラーチャシーマー	Nakhon Ratchasima	นครราชสีมา	東北部	TH-30	เมืองหญิงกล้า ผ้าไหมดี หมี่โคราช ปราสาทหิน ดินด่านเกวียน		สาธร	ดอกสาธร	The revered heroine of Korat, Thao Suranari (1771–1852), fight against Vientianian , standing in front of the old gate of Pratu Chumpon .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
48	ブリーラム	Buri Ram	บุรีรัมย์	東北部	TH-31	เมืองปราสาทหิน ถิ่นภูเขาไฟ ผ้าไหมสวย รวยวัฒนธรรม เลิศล้ำเมืองกีฬา		กาฬพฤกษ์	ดอกสุพรรณิการ์	A dancing deity in front of Phanom Rung Prasat Hin Phanom Rung , a Khmer temple complex set on the rim of an extinct volcano at 1,320 feet (400 m) above sea level					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
49	ナコーンパノム	Nakhon Phanom	นครพนม	東北部	TH-48	พระธาตุพนมค่าล้ำ วัฒนธรรมหลากหลาย เรณูผู้ไท เรือไฟโสภา งามตาฝั่งโขง		กันเกรา	ดอกกันเกรา	The 57 m high chedi at Wat Phra That Phanom in Amphoe That Phanom .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
50	スリン	Surin	สุรินทร์	東北部	TH-32	สุรินทร์ถิ่นช้างใหญ่ ผ้าไหมงาม ประคำสวย ร่ำรวยปราสาท ผักกาดหวาน ข้าวสารหอม งามพร้อมวัฒนธรรม		มะค่าแต้	ดอกกันเกรา	Indra atop his celestial white elephant , Airavata which is based on the design found on a famous Khmer temple in the province. Both Khmer temples as well as elephants are commonly found in Surin.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
51	シーサケート	Sisaket	ศรีสะเกษ	東北部	TH-33	แดนปราสาทขอม หอมกระเทียมดี มีสวนสมเด็จ เขตดงลำดวน หลากล้วนวัฒนธรรม เลิศล้ำสามัคคี		ลำดวน	ดอกลำดวน	Prasat Hin Ban Samo, a Khmer temple about 1000 years old, located in the Prang Ku district.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
52	サケーオ	Sa Kaeo	สระแก้ว	東部	TH-27	ชายแดนเบื้องบูรพา ป่างามน้ำตกสวย มากด้วยรอยอารยธรรมโบราณ ย่านการค้าไทย-เขมร		มะขามป้อม	ดอกแก้ว	The sun rising over the archeological ruins Prasart Kao Noi Si Chom Poo, an important Khmer temple. The rising sun symbolizes the location of the province in the east. In the front is Buddha's statue in a pond with lotus flowers.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
53	プラーチーンブリー	Prachin Buri	ปราจีนบุรี	東部	TH-25	ศรีมหาโพธิคู่บ้าน ไผ่ตงหวานคู่เมือง ผลไม้ลือเลื่อง เขตเมืองทวารวดี		โพศรีมหาโพธิ์	ดอกปีบ	A Bodhi tree symbolizing the first Bodhi tree planted about 2000 years ago in Wat Si Maha Phot temple.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
54	チャチューンサオ	Chachoengsao	ฉะเชิงเทรา	東部	TH-24	แม่น้ำบางปะกงแหล่งชีวิต พระศักดิ์สิทธิ์หลวงพ่อโสธร พระยาศรีสุนทรปราชญ์ภาษาไทย เขาอ่างฤาไนป่าสมบูรณ์		นนทรีป่า	ดอกนนทรีป่า	Wat Sothonwararam , the temple that houses the Luangpho Phuttha Sothon , a revered statue of the Buddha.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
55	チョンブリー	Chon Buri	ชลบุรี	東部	TH-20	ทะเลงาม ข้าวหลามอร่อย อ้อยหวาน จักสานดี ประเพณีวิ่งควาย		ประดู่ป่า	ดอกประดู่	Over the sea the outline of Khao Sam Muk , on which a shrine is located. Local people believe that the spirit of that mountain protects the fishermen from harm. The silhouette of Ko Sichang Island is displayed in the background.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
56	ラヨーン	Rayong	ระยอง	東部	TH-21	ผลไม้รสล้ำ อุตสาหกรรมก้าวหน้า น้ำปลารสเด็ด เกาะเสม็ดสวยหรู สุนทรภู่กวีเอก		สารภีทะเล	ดอกประดู่	Island Ko Samet and a coconut palm .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
57	チャンタブリー	Chanthaburi	จันทบุรี	東部	TH-22	น้ำตกลือเลื่อง เมืองผลไม้ พริกไทยพันธุ์ดี อัญมณีมากเหลือ เสื่อจันทบูร สมบูรณ์ธรรมชาติ สมเด็จพระเจ้าตากสินมหาราช รวมญาติกู้ชาติที่จันทบุรี		จัน	ดอกเหลืองจันทบูร	The Moon surrounded by an aura. Inside the moon disc is a dark rabbit , for according to Thai tradition the dark areas on the moon ( maria ) form a rabbit shape.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
58	トラート	Trat	ตราด	東部	TH-23	เมืองเกาะครึ่งร้อย พลอยแดงค่าล้ำ ระกำแสนหวาน หลังอานหมาดี ยุทธนาวีเกาะช้าง สุดทางบูรพา		หูกวาง	ดอกกฤษณา	The sea and Khao Banthat mountain range in the background					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
59	ターク	Tak	ตาก	西部	TH-63	ธรรมชาติน่ายล ภูมิพลเขื่อนใหญ่ พระเจ้าตากเกรียงไกร เมืองไม้และป่างาม		ตาก	ดอกเสี้ยวดอกขาว	King Naresuan on the royal elephant. Sometimes below the elephant a garuda is depicted, as the garuda is the state symbol of Thailand. King Naresuan is shown pouring consecrated water on the ground, a symbolic act to declare independence. This refers to the war of 1584 with Burma , when Tak was the first border town to be liberated from Burmese control.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
60	カーンチャナブリー	Kanchanaburi	กาญจนบุรี	西部	TH-71	แคว้นโบราณ ด่านเจดีย์ มณีเมืองกาญจน์ สะพานข้ามแม่น้ำแคว แหล่งแร่น้ำตก		ขานาง	ดอกกาญจนิกา	Representation of the three stupas , located on Bantadthong Mountain . They gave the name to the mountain pass to Myanmar, called " Three Pagodas Pass ".					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
61	ラーチャブリー	Ratchaburi	ราชบุรี	西部	TH-70	คนสวยโพธาราม คนงามบ้านโป่ง เมืองโอ่งมังกร วัดขนอนหนังใหญ่ ตื่นใจถ้ำงาม ตลาดน้ำดำเนิน เพลินค้างคาวร้อยล้าน ย่านยี่สกปลาดี		โมกมัน	ดอกกัลปพฤกษ์	The royal sword above the royal sandals on a phan (tray) , for the name Ratchaburi means City of the King .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
62	ペッチャブリー	Phetchaburi	เพชรบุรี	西部	TH-76	เขาวังคู่บ้าน ขนมหวาน เมืองพระเลิศล้ำศิลปะ แดนธรรมะ ทะเลงาม		หว้า	設定なし／未設定	Khao Wang palace in the background. In front are rice fields bordered by two coconut palm trees, symbolizing the major crops in the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
63	プラチュワップキーリーカン	Prachuap Khiri Khan	ประจวบคีรีขันธ์	西部	TH-77	เมืองทองเนื้อเก้า มะพร้าว สับปะรดสวยสด หาด เขา ถ้ำ งามล้ำน้ำใจ		เกด	ดอกเกด	Kuha Karuhas pavilion, which was built when King Chulalongkorn (Rama V) visited the Praya Nakorn Cave (Amphoe Sam Roi Yot ). Depicted behind the pavilion is the island of Ko Lak in Prachuap Bay , the historic center of administration of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
64	チュムポーン	Chumphon	ชุมพร	南部	TH-86	ประตูสู่ภาคใต้ ไหว้เสด็จในกรม ชมไร่กาแฟ แลหาดทรายรี ดีกล้วย เล็บมือ ขึ้นชื่อรังนก		มะเดื่ออุทุมพร	ดอกพุทธรักษา	An apsara giving blessings to the people standing between two Cluster Fig trees ( Ficus glomerata ), the provincial tree					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
65	ラノーン	Ranong	ระนอง	南部	TH-85	คอคอดกระ ภูเขาหญ้า กาหยูหวาน ธารน้ำแร่ มุกแท้เมืองระนอง		อบเชย	ดอกเอื้องเงินหลวง หรือโกมาชุม	A palace on top of a hill, to remember that King Chulalongkorn (Rama V) once visited Ranong and stayed at the Ratana Rangsan Palace on top of the Niveskiri Hill.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
66	スラートターニー	Surat Thani	สุราษฎร์ธานี	南部	TH-84	เมืองร้อยเกาะ เงาะอร่อย หอยใหญ่ ไข่แดง แหล่งธรรมะ		เคี่ยม	ดอกบัวผุด	Phra Boromathat Chaiya Chedi , reportedly built in the 9th century.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
67	ナコーンシータンマラート	Nakhon Si Thammarat	นครศรีธรรมราช	南部	TH-80	เมืองประวัติศาสตร์ พระธาตุทองคำ ชื่นฉ่ำธรรมชาติ แร่ธาตุอุดม เครื่องถมสามกษัตริย์ มากวัดมากศิลป์ ครบสิ้นกุ้งปู		แซะ	ดอกราชพฤกษ์	Phra Baromathat Chedi of the Wat Phra Mahathat Voramahavihan, one of the most important historical sites in southern Thailand. According to the city chronicle it was already built in 311, but archaeology dates it to the 13th century. The chedi is surrounded by the animals of the Chinese zodiac in the seal. The twelve animals represent the twelve Naksat cities or city-states which were tributary to the Nakhon Si Thammarat kingdom: the Rat of Saiburi ; the Ox of Pattani ; the Tiger of Kelantan ; the Rabbit of Pahang (actually a city in Pahang which is said to be submerged by a lake now); a large Dragon of Kedah ; a small Snake of Phatthalung ; a Horse of Trang ; a Goat of Chumphon ; a Monkey of Bantaysamer (might be Chaiya , or a town in Krabi province ); a Rooster of Sa-ulau (unidentified city, might be Songkhla , Kanchanadit or Pla Tha ); a Dog of Takua Pa and a Pig of Kraburi .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
68	クラビー	Krabi	กระบี่	南部	TH-81	เมืองน่าอยู่ ผู้คนน่ารัก		ทุ้งฟ้า	ดอกทุ้งฟ้า	Two crossed krabi , ancient Siamese swords, in front of the Indian Ocean and the Phanom Bencha mountain, the highest mountain of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
69	パンガー	Phang Nga	พังงา	南部	TH-82	แร่หมื่นล้าน บ้านกลางน้ำ ถ้ำงามตา ภูผาแปลก แมกไม้จำปูน บริบูรณ์ทรัพยากร		เทพทาโร	ดอกจำปูน	Phu Khao Chang mountains in the background and Ko Tapu in front, as well as a dredge to represent the tin mining in the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
70	プーケット	Phuket	ภูเก็ต	南部	TH-83	ไข่มุกอันดามัน สวรรค์เมืองใต้ หาดทรายสีทอง สองวีรสตรี บารมีหลวงพ่อแช่ม		ประดู่บ้าน	ดอกเฟื่องฟ้า	The sisters Thao Thep Kasattri and Thao Sri Sunthon , fighters against the Burmese.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
71	パッタルン	Phatthalung	พัทลุง	南部	TH-93	เมืองหนังโนราห์ อู่นาข้าว พราวน้ำตก แหล่งนกน้ำ ทะเลสาบงาม เขาอกทะลุ น้ำพุร้อน		พะยอม	ดอกพะยอม	Phu Khao Ok Thalu mountain, the symbol of the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
72	トラン	Trang	ตรัง	南部	TH-92	เมืองพระยารัษฎา ชาวประชาใจกว้าง หมูย่างรสเลิศ ถิ่นกำเนิดยางพารา เด่นสง่าดอกศรีตรัง ปะการังใต้ทะเล เสน่ห์หาดทรายงาม น้ำตกสวยตระการตา		ศรีตรัง	ดอกศรีตรัง	A lighthouse jetty and sea tides. The jetty represents the fact that the area has long been a port town. The tides indicate the meaning of the province's name, which is from Sanskrit "तरङ्ग" ( taraṅga ; "tide", "wave"). [ 3 ]					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
73	パッターニー	Pattani	ปัตตานี	南部	TH-94	เมืองงามสามวัฒนธรรม ศูนย์ฮาลาลเลิศล้ำ ชนน้อมนำศรัทธา ถิ่นธรรมชาติงามตา ปัตตานีสันติสุขแดนใต้		ตะเคียนทอง	ดอกชบา	The cannon known as Phraya Tani , which was cast in the Pattani province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
