ID	出来事・キーワード	時代区分	カテゴリ	タグ	関連年	重要度	日本人への示唆・面白さ	詳細説明	現代の関連スポット
TH-075	タイ料理の形成（外来文化の融合）	文化・食	文化・食	食文化,融合	1500	★5	タイ料理は「純粋なタイのもの」は少ない。インドのカレー、中国の炒め物、西洋の菓子など、各国の良い所を融合させたハイブリッド。	交易のハブであったため、香辛料の使い方、調理法などが多方面から流入し、独自の進化を遂げた。異文化を柔軟に受け入れるタイ人の国民性が料理にも表れている。	バンコクのストリートフード
TH-076	唐辛子（プリック）の伝来	文化・食	文化・食	食文化,食材	1511	★4	タイ料理＝辛い、は歴史的に新しい。唐辛子は16世紀にポルトガル人が南米から持ち込むまでタイに存在しなかった。	アユタヤ時代にポルトガル人によってチリ（唐辛子）がもたらされる前は、胡椒（プリックタイ）や生姜で辛味をつけていた。「タイの胡椒（プリック・タイ）」という名前がその名残。	（タイ料理全般）
TH-077	中華鍋（ガタ）と炒め物文化の導入	文化・食	文化・食	食文化,中国	1700	★4	「炒める（パッ）」という概念はタイの伝統料理にはなく、華僑（潮州人など）が持ち込んだもの。	アユタヤ後期からトンブリー時代にかけて華人の移住が増加。強い火力で一気に炒める中華鍋と、醤油（シーユー）などの調味料がタイの食卓を激変させた。	ヤワラー（バンコク中華街）
TH-078	ポルトガル由来のタイ伝統菓子	文化・食	文化・食	食文化,欧州	1650	★3	フォイトーン（鶏卵素麺のような菓子）など、卵の黄身と大量の砂糖を使った黄色いお菓子は、実はアユタヤ時代の日系/ポルトガル系女性が考案した。	山田長政と同じ時代に生きた、マリー・ギマルド（ターオ・トーンキープマー）という女性が宮廷の厨房でポルトガルの菓子をタイ風にアレンジして広めたとされる。	アユタヤの菓子屋台
TH-079	ラーンナー食文化：カオニャオ（もち米）	文化・食	文化・食	食文化,ラーンナー	1000	★5	バンコクの人々がうるち米（カオチャオ）を食べるのに対し、チェンライなど北部・東北部の主食は昔から「もち米」。	手で丸めて食べるのが基本スタイル。山岳地帯や寒冷な気候でも育ちやすく、腹持ちが良いため、北部の労働者や農民の生活に深く根付いている。	北部のローカル食堂
TH-080	ゲーンハンレー（ミャンマー風豚肉カレー）	文化・食	文化・食	食文化,ラーンナー	1558	★4	ココナッツミルクを使わず、生姜やピーナッツ、タマリンドの酸味が効いたチェンマイやチェンライの名物カレー。	約200年にわたるビルマ（ミャンマー）支配時代にラーンナー地方に持ち込まれた。ヒンレーというビルマのスパイスが語源とされる、歴史を食べる一品。	チェンマイ・チェンライの郷土料理店
TH-081	カントーク（丸いお膳）の宴制	文化・食	文化・食	食文化,ラーンナー	1900	★3	床に座り、小さな丸いお膳（カントーク）を囲んで食事や舞踊を楽しむ、北部（ラーンナー）特有の伝統的なおもてなしスタイル。	かつては冠婚葬祭の特別な食事スタイルだったが、1950年代にチェンマイの文化人が観光客向けに「カントーク・ディナーショー」として再構成して定着した。	チェンマイ文化センター
TH-082	サイウア（チェンマイソーセージ）の知恵	文化・食	文化・食	食文化,ラーンナー	1000	★4	レモングラス、コブミカンの葉、ガランガル（カー）などのハーブを大量に豚肉に練り込んだ、薫り高い北部のソーセージ。	冷蔵庫のない時代に、豚肉を長持ちさせ、かつ臭みを消すための先人の知恵。もち米（カオニャオ）との相性が抜群。	チェンライ市内の市場
TH-083	ナムプリック・オーンとトマトの伝来	文化・食	文化・食	食文化,ラーンナー	1800	★3	ミートソースのような見た目の、ひき肉とトマトの甘辛いディップ。北部タイ料理の中で最もマイルドで日本人にも食べやすい。	トマトも唐辛子と同様にコロンブス以降の交易でタイに持ち込まれたもの。ラーンナーの食文化が西洋の食材を取り入れて進化した好例。	北部の市場の惣菜屋
TH-084	タイ料理における砂糖（ナムターン）の多用	文化・食	社会	食文化,現代	1960	★3	現代のタイの屋台料理（特にスープ類やパッタイ）では大量の砂糖が使われるが、これは戦後の経済発展に伴う近代の現象。	かつてのタイでは砂糖は貴重品（パームシュガーが主体）だったが、精製糖（白砂糖）の工業化と安価な流通により、外食産業で過剰な甘味付けが一般化した。	（現代の屋台全般）
TH-085	ピー（精霊）信仰とアニミズム	文化・食	文化・食	宗教,思想	500	★5	タイ人は熱心な仏教徒だが、その根底には「この世のすべてのものにはピー（精霊・お化け）が宿る」という強烈な土着信仰がある。	森、木、家、川などあらゆる場所に精霊がいると信じ、機嫌を損ねると祟りが起こると考える。日本の「八百万の神」や妖怪信仰に非常に近い感覚。	（タイ人の生活全般）
TH-086	サーン・プラプーム（祠・スピリットハウス）	文化・食	文化・食	宗教,建築	1000	★4	タイのどんな立派なビルや家屋の敷地内にも、必ず小さな「祠」がある理由。	建物を建てる際に土地の精霊（ピー）の居場所を奪ってしまうため、代わりに住んでもらうための小さな家を建てる。毎日供え物をして平穏を祈る。	エラワンの祠（バンコク）
TH-087	プラクルアン（護符・お守り）文化	文化・食	文化・食	宗教,文化	1000	★4	仏像や高僧をかたどった小さなお守り。タイの男性はこれを首からジャラジャラと何個もぶら下げる。コレクター市場は数千億円規模。	元々は戦場に赴く兵士に僧侶が渡したのが始まり。物理的な銃弾を弾く、といったオカルト的な力が本気で信じられており、希少なものは家が買えるほど高値で取引される。	タープラチャン市場（バンコク）
TH-088	ムエタイ（タイ式キックボクシング）の起源	文化・食	文化・食	スポーツ,武術	1500	★4	世界最強の立ち技格闘技と言われるムエタイのルーツは、武器を失った兵士が戦場で使うための殺人術（ムエボーラン）だった。	アユタヤ時代、ビルマとの絶え間ない戦争の中で、肘や膝など人体の硬い部分を武器とする実戦武術として発達。後にスポーツとしてリングの上で行われるようになった。	ルンピニー・スタジアム
TH-089	タイの刺青「サクヤン」の魔法	文化・食	文化・食	文化,宗教	1000	★3	アンジェリーナ・ジョリーが背中に入れたことで世界的に有名になった、僧侶が彫る護符としての刺青。	クメール語の呪文や幾何学模様、動物の図柄などを長い針で彫る。「刃物を通さない」「運気が上がる」などの魔力が宿るとされ、ムエタイ選手やマフィアから一般人まで広く信仰される。	ワット・バーンプラ（ナコンパトム）
TH-090	ワイ（合掌）の文化とインド・ヒンドゥーの影響	文化・食	文化・食	文化,社会	1000	★4	タイ人の挨拶「ワイ」。日本のお辞儀とは異なり、相手の身分や年齢によって指先の高さを変える厳格なヒエラルキーが背景にある。	元々はインドからの影響（ナマステ）によるもの。頭を神聖なもの、足を不浄なものとするヒンドゥー的・仏教的価値観が深く反映されており、頭を撫でることはタブーとされる。	（日常の挨拶）
TH-091	チェンライの「白い寺」ワット・ロンクン	文化・食	文化・食	芸術,ラーンナー	1997	★4	現代に作られた仏教テーマパークとも言える前衛芸術。地獄から天国へと渡る橋など、伝統的なラーンナー様式と現代アートが融合。	チェンライ出身のアーティスト、チャルムチャイ・コーシッピパット氏が私財を投じて建設を続ける。仏教の教え（輪廻転生や煩悩）を視覚的に強烈に表現している。	ワット・ロンクン（チェンライ）
TH-092	青い寺（ワット・ロンスアテン）と黒い家（バーンダム）	文化・食	文化・食	芸術,ラーンナー	2005	★3	チェンライを「アートの街」として印象づける強烈な個性を持った2つの施設。白い寺と合わせて色による対比が美しい。	黒い家はタワン・ダッチャニー氏の動物の死骸などを飾った独特の空間。青い寺は白い寺の弟子が設計した、青と金のコントラストが鮮やかな新感覚の寺院。	ワット・ロンスアテン（チェンライ）
TH-093	水かけ祭り（ソンクラーン）の変遷	文化・食	文化・食	祭り,文化	1000	★3	タイの旧正月（4月）。元々は仏像や年長者の手に少し水をかけて清める静かな儀式だったが、現代では世界最大の水鉄砲の撃ち合いに発展。	タイで最も暑い時期に行われる。若者や観光客がピックアップトラックの荷台から氷水を撒き散らすなど過激化しているが、本来は敬意と浄化の宗教的行事。	チェンマイの旧市街堀周辺
TH-094	仏教の結界「セーマー」と寺院の構造	文化・食	文化・食	建築,仏教	1300	★3	タイのお寺に行くと本堂の周りに8つの石のモニュメントがある。これが結界（セーマー）であり、この内側だけが「聖域」となる。	タイの寺院には本堂（ウボーソット）と礼拝堂（ウィハーン）があり、出家などの重要な儀式はセーマーで囲まれた本堂でしか行うことができない。	全国のタイ仏教寺院
TH-095	上座部仏教の出家（ブワット）の習慣	文化・食	社会	仏教,社会	1300	★4	タイの成人男性は、人生に一度は一時的に出家して僧侶になることが親（特に母親）への最大の恩返し（タンブン）とされる。	期間は数週間から数ヶ月。髪と眉毛を剃り落とし、厳しい戒律の中で生活する。企業も出家休暇を認めるなど、社会システムとして完全に組み込まれている。	（日常的な出家儀式）
TH-096	少数民族（山岳民族）とラーンナー	文化・食	社会	ラーンナー,民族	1800	★4	アカ族、カレン族、モン族など。チェンライやチェンマイの山岳地帯には、独自の言語や民族衣装を持つ多様な人々が暮らしている。	多くは中国南部やチベットなどから南下してきた人々。かつては焼畑農業やケシ栽培を行っていたが、現在は観光やコーヒー・茶の栽培が主な生計となっている。	チェンライの山岳民族の村
TH-097	カレン族と象使いの歴史	文化・食	社会	ラーンナー,動物	1800	★3	タイで最も象の扱いに長けているとされる少数民族。かつてはチーク材の伐採（林業）で象と共に働き、深い精神的な繋がりを持つ。	森林伐採が禁止された現在では、観光用のエレファントキャンプなどで象使い（マハウト）として働くことが多い。象は単なる家畜ではなく家族として扱われる。	北部のエレファント・サンクチュアリ
TH-098	タイのジェンダー観と多様性（カトゥーイ）	現代	社会	社会,多様性	1000	★4	レディボーイ（カトゥーイ）など、LGBTQ+に対して世界でもトップクラスに寛容な社会。その背景には仏教的価値観がある。	上座部仏教の「業（カルマ）」の考え方から、「前世の行いの結果であるため、今世で他人が批判すべきではない」という一種の諦観と包容力が根付いているためとされる。	（タイ社会全般）
TH-099	微小粒子状物質（PM2.5）と焼畑農業の問題	現代	社会	環境,ラーンナー	2000	★3	チェンライなど北部の現代の深刻な問題。乾季の終盤（2〜4月）に周辺国を含めた野焼き・焼畑により世界最悪レベルの空気汚染が発生する。	トウモロコシなどの換金作物の収穫後の野焼きや、山菜を採るための山火事などが原因。伝統的な農業サイクルと現代の環境問題が衝突している負の歴史の最前線。	乾季のタイ北部
TH-100	ラーンナー王国の復権とアイデンティティ	現代	文化・食	ラーンナー,未来	2000	★5	かつてバンコクに同化させられた北部の歴史が見直され、「ラーンナー・ルネサンス」として建築や芸術、食文化への誇りが再燃している。	チェンライやチェンマイでは、現代アートや独自のカフェ文化と結びつき、バンコクとは異なる「北部の豊かさ」が再評価されている。本データベースが最も強調したい視点。	チェンライ・チェンマイの現代文化施設
