ID	名称（日本語）	名称（英語）	名称（タイ語）	分類	信仰・物語の系統	見分け方	意味・役割	見られる場所	理解上の注意	タイ語画像検索URL	主要参考URL	文化資料URL	確認状態
036	シン	Singha	สิงห์	守護者と霊獣	仏教美術・王権	胸を張る獅子、巻毛、火炎状の尾。	勇気、権威、仏法守護を示す。	寺院門、仏塔基壇、シンハ紋様	中国獅子やビルマのチンテーと形を比較できる。	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
037	ラーチャシー	Rajasiha	ราชสีห์	守護者と霊獣	ヒマパン世界	王者の獅子として豪華な鬣と力強い体。	獣の王、威厳と支配力を象徴する。	紋章、壁画、寺院彫刻	一般のシンとの区別は図像資料ごとに揺れる。	https://www.google.com/search?tbm=isch&q=%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%AB%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
038	コチャシー	Kochasri	คชสีห์	守護者と霊獣	ヒマパン世界	獅子の体に象の鼻や頭部要素を合わせる。	象の力と獅子の威厳を統合した霊獣。	官庁紋章、寺院装飾	ガジャシンハ系の呼称と表記差がある。	https://www.google.com/search?tbm=isch&q=%E0%B8%84%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%AB%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
039	マカラ	Makara	มกร	守護者と霊獣	インド神話・東南アジア美術	ワニ、象、魚などが混ざる水の怪獣。口からナーガを吐く。	水界と門口を守り、生命の源を表す。	クメール遺跡、寺院階段、屋根端	単一動物としてではなく複合獣として見る。	https://www.google.com/search?tbm=isch&q=%E0%B8%A1%E0%B8%81%E0%B8%A3%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
040	ホン（ハムサ）	Hamsa	หงส์	守護者と霊獣	インド神話・モン文化	優美な白鳥・鵞鳥形、長い首と華やかな尾。	純潔、知恵、天界を象徴し、モン文化でも重要。	寺院棟飾り、モン寺院、旗	中国の鳳凰とは別系統。	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
041	プラ・ラーム	Rama	พระราม	ラーマキエン	ラーマキエン	緑色の肌、尖った冠、弓矢。	正義の王子でヴィシュヌの化身としてトッサカンと戦う。	ワット・プラケーオ壁画、仮面劇	インド版ラーマーヤナとタイ版の筋・人物像に差がある。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
042	ナーン・シーダー	Sita	นางสีดา	ラーマキエン	ラーマキエン	王女の冠と衣装、優雅な女性像。	ラーマの妃で、誘拐と試練が物語を動かす。	壁画、コーン舞台	人物評価は物語解釈により異なる。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B2%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
043	プラ・ラック	Lakshmana	พระลักษมณ์	ラーマキエン	ラーマキエン	金色の肌、王子の冠、弓矢。	ラーマに忠実に従う弟で、戦いを支える。	壁画、コーン舞台	ラーマと冠・肌色で見分ける。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%A1%E0%B8%93%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
044	トッサカン	Thotsakan	ทศกัณฐ์	ラーマキエン	ラーマキエン	緑色の夜叉王。十の顔と二十本の腕を持つとされる。	ロンカー王で、シーダー誘拐をめぐりラーマと戦う。	ワット・プラケーオの守門像、壁画、コーン	守門像では多数の顔が冠に積層される。	https://www.google.com/search?tbm=isch&q=%E0%B8%97%E0%B8%A8%E0%B8%81%E0%B8%B1%E0%B8%93%E0%B8%90%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
045	ハヌマーン	Hanuman	หนุมาน	ラーマキエン	ラーマキエン	白い猿、開いた口、王冠、武器。	機知と変身力を持つ猿軍の英雄でラーマを助ける。	壁画、コーン、護符意匠	タイ版では恋愛譚など独自要素が強い。	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%99%E0%B8%B8%E0%B8%A1%E0%B8%B2%E0%B8%99%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
046	スクリープ	Sugriva	สุครีพ	ラーマキエン	ラーマキエン	赤い猿王、冠、武器。	キートキンの猿王でラーマ軍を率いる。	壁画、コーン	ハヌマーンとは肌色と冠で見分ける。	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%9E%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
047	ピペーク	Vibhishana	พิเภก	ラーマキエン	ラーマキエン	夜叉の姿で占星術師・王族として描かれる。	トッサカンの弟だが正義を選びラーマへ助言する。	壁画、コーン	裏切り者か賢者かは物語内の立場で評価が変わる。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A0%E0%B8%81%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
048	マイヤラープ	Maiyarap	ไมยราพ	ラーマキエン	ラーマキエン	紫色系の夜叉王、地下世界の王冠と武器。	魔術でラーマを地下へ連れ去り、ハヌマーンと戦う。	壁画、コーンのマイヤラープ討伐段	トッサカンとは肌色・物語場面で区別する。	https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A1%E0%B8%A2%E0%B8%A3%E0%B8%B2%E0%B8%9E%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
049	ナーン・モントー	Montho	นางมณโฑ	ラーマキエン	ラーマキエン	ロンカー宮廷の王妃装束。	トッサカンの妃で、複雑な家族関係と悲劇を背負う。	壁画、コーン	インド版のマンドーダリーとの差異がある。	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%93%E0%B9%82%E0%B8%91%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
050	ベンヤカイ	Benyakai	เบญกาย	ラーマキエン	ラーマキエン	夜叉の女性だがシーダーへ変身した姿でも描かれる。	ピペークの娘。策略に加わるがハヌマーンと関係を持つ。	壁画、コーンのシーダー変身場面	変身場面ではシーダーとの識別が物語文脈に依存する。	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%8D%E0%B8%81%E0%B8%B2%E0%B8%A2%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
