ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説	レコード種別	親ブランド	タイ国内生産	国内生産確認根拠
29	Singha Beer	เบียร์สิงห์	公式タイ語表記	タイを代表する国産ラガービール	ラガービール	ビール	タイ					全国流通	Boon Rawd Brewery	確認済み	公式製品一覧と国内工場資料で確認	掲載候補	海外ブランドではなく、タイ企業が国内工場で製造する銘柄。	https://sbc.boonrawd.co.th/th/index	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Singha Beer（เบียร์สิงห์）は、タイに関連するラガービール。タイを代表する国産ラガービール。	個別商品・銘柄		確認済み	https://sbc.boonrawd.co.th/th/index
30	LEO Beer	เบียร์ลีโอ	公式タイ語表記	タイ国内で広く流通するラガービール	ラガービール	ビール	タイ			なめらかなラガー		全国流通	Boon Rawd Brewery	確認済み	公式ブランドページと国内工場資料で確認	掲載候補	コンケーン工場などで国内生産が公式に確認できる。	https://kkb.boonrawd.co.th/th/index	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%E0%B8%A5%E0%B8%B5%E0%B9%82%E0%B8%AD%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	LEO Beer（เบียร์ลีโอ）は、タイに関連するラガービール。タイ国内で広く流通するラガービール。	個別商品・銘柄		確認済み	https://kkb.boonrawd.co.th/th/index
31	U Beer	ยู เบียร์	公式タイ語表記	Boon Rawd系のラガービール	ラガービール	ビール	タイ		4.5%			全国流通	Boon Rawd Brewery	確認済み	公式商品ページで確認	掲載候補	原料の一部が輸入でも、完成品はタイ国内生産の対象として扱う。	https://www.singhacorporation.com/ubeer/index.php/th/home	https://www.google.com/search?tbm=isch&q=%E0%B8%A2%E0%B8%B9%20%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	U Beer（ยู เบียร์）は、タイに関連するラガービール。Boon Rawd系のラガービール。	個別商品・銘柄		確認済み	https://www.singhacorporation.com/ubeer/index.php/th/home
32	Singha Reserve	สิงห์ รีเซิร์ฟ	公式製品一覧の表記を音写	Singhaのプレミアム系商品	ビール	ビール	タイ					全国流通	Boon Rawd Brewery	確認済み	公式製品一覧と国内製造拠点で確認	掲載候補	外国ブランドのライセンス品ではなくSinghaの商品として収録。	https://singhacorporation.com/th	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C%20%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%8B%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%9F%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Singha Reserve（สิงห์ รีเซิร์ฟ）は、タイに関連するビール。Singhaのプレミアム系商品。	個別商品・銘柄		確認済み	https://singhacorporation.com/th
33	SNOWY WEIZEN	สโนวี่ ไวเซ่น	検索補助音写（公式名は英字）	Boon Rawd系の小麦ビール	ヴァイツェン	ビール	タイ	小麦				全国流通	Boon Rawd Brewery	確認済み	公式製品一覧と国内製造拠点で確認	掲載候補	公式名が英字のためタイ文字は検索補助音写。	https://singhacorporation.com/th	https://www.google.com/search?tbm=isch&q=%E0%B8%AA%E0%B9%82%E0%B8%99%E0%B8%A7%E0%B8%B5%E0%B9%88%20%E0%B9%84%E0%B8%A7%E0%B9%80%E0%B8%8B%E0%B9%88%E0%B8%99%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	SNOWY WEIZEN（สโนวี่ ไวเซ่น）は、タイに関連するヴァイツェン。Boon Rawd系の小麦ビール。	個別商品・銘柄		確認済み	https://singhacorporation.com/th
34	EST.33 Copper	เอสที 33 คอปเปอร์	検索補助音写（公式名は英字）	Boon Rawd系のクラフトスタイル商品	ビール	ビール	タイ					限定流通	Boon Rawd Brewery	確認済み	公式製品一覧で確認	掲載候補	国内企業の自社銘柄として収録。	https://singhacorporation.com/th	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B8%97%E0%B8%B5%2033%20%E0%B8%84%E0%B8%AD%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	EST.33 Copper（เอสที 33 คอปเปอร์）は、タイに関連するビール。Boon Rawd系のクラフトスタイル商品。	個別商品・銘柄		確認済み	https://singhacorporation.com/th
35	Chang Beer	เบียร์ช้าง	公式タイ語表記	ThaiBevを代表するタイ産ビール	ラガービール	ビール	タイ					全国流通	ThaiBev	確認済み	ThaiBev最新報告書で主力ビールと国内醸造所を確認	掲載候補	輸入品ではなくタイ国内生産の主力銘柄。	https://sustainability.thaibev.com/download/thaibevsr2025en.pdf	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Chang Beer（เบียร์ช้าง）は、タイに関連するラガービール。ThaiBevを代表するタイ産ビール。	個別商品・銘柄		確認済み	https://sustainability.thaibev.com/download/thaibevsr2025en.pdf
36	Blend 285	เบลนด์ 285	公式製品名の音写	ThaiBevの代表的ブレンデッドスピリッツ	ブレンデッドスピリッツ	蒸留酒	タイ					全国流通	ThaiBev	確認済み	公式製品一覧と最新報告書で確認	掲載候補	超メジャー枠として追加。	https://www.thaibev.com/products/group?cateId=1	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%9A%E0%B8%A5%E0%B8%99%E0%B8%94%E0%B9%8C%20285%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Blend 285（เบลนด์ 285）は、タイに関連するブレンデッドスピリッツ。ThaiBevの代表的ブレンデッドスピリッツ。	個別商品・銘柄		確認済み	https://www.thaibev.com/products/group?cateId=1
37	MERIDIAN	เมอริเดียน	公式製品名の音写	ThaiBevのブランデー銘柄	ブランデー	蒸留酒	タイ					全国流通	ThaiBev	確認済み	公式製品一覧で確認	掲載候補	タイ国内製造の公式ポートフォリオ掲載品。	https://www.thaibev.com/products/group?cateId=1	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B8%99%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	MERIDIAN（เมอริเดียน）は、タイに関連するブランデー。ThaiBevのブランデー銘柄。	個別商品・銘柄		確認済み	https://www.thaibev.com/products/group?cateId=1
38	Phraya	พระยา	公式タイ語表記	ThaiBevのプレミアムラム	ラム	蒸留酒	タイ	糖蜜				専門店	ThaiBev	確認済み	公式製品一覧で確認	掲載候補	旧版では北タイ扱いを否定したが、タイ産酒DBでは適格。	https://www.thaibev.com/products/group?cateId=1	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B2%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Phraya（พระยา）は、タイに関連するラム。ThaiBevのプレミアムラム。	個別商品・銘柄		確認済み	https://www.thaibev.com/products/group?cateId=1
39	Monsoon Valley	มอนซูน แวลลีย์	公式タイ語サイトの表記を音写	タイ産ブドウを用いるワインブランド	ワインブランド	ワイン	ホアヒンほか、タイ国内	ブドウ				全国・専門店	Siam Winery	確認済み	公式サイトで国内の畑とサムットサーコーンの醸造所を確認	掲載候補	ブランド総称。個別シリーズは必要に応じ別商品として追加可能。	https://www.monsoonvalley.com/en/our-wines	https://www.google.com/search?tbm=isch&q=%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B8%99%20%E0%B9%81%E0%B8%A7%E0%B8%A5%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Monsoon Valley（มอนซูน แวลลีย์）は、ホアヒンほか、タイ国内に関連するワインブランド。タイ産ブドウを用いるワインブランド。	ブランド／生産者		確認済み	https://www.monsoonvalley.com/en/our-wines
40	GranMonte	กรานมอนเต้	公式名の一般的なタイ語音写	カオヤイGIのタイ産ワインブランド	ワインブランド	ワイン	カオヤイ、ナコーンラーチャシーマー	ブドウ				専門店・ワイナリー	GranMonte	確認済み	公式サイトで全商品がKhao Yai Wine GIと確認	掲載候補	ブランド総称として収録。	https://www.granmonte.com/granmonte-wines.php	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%95%E0%B9%89%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	GranMonte（กรานมอนเต้）は、カオヤイ、ナコーンラーチャシーマーに関連するワインブランド。カオヤイGIのタイ産ワインブランド。	ブランド／生産者		確認済み	https://www.granmonte.com/granmonte-wines.php
41	GranMonte Asoke Cabernet Sauvignon Syrah	กรานมอนเต้ อโศก	検索補助音写（公式名は英字）	GranMonteの赤ワイン	赤ワイン	ワイン	カオヤイ、ナコーンラーチャシーマー	カベルネ・ソーヴィニヨン、シラー				専門店・ワイナリー	GranMonte	確認済み	公式ワイン一覧で商品とカオヤイGIを確認	掲載候補	GranMonteの個別商品。	https://www.granmonte.com/granmonte-wines.php	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%95%E0%B9%89%20%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	GranMonte Asoke Cabernet Sauvignon Syrah（กรานมอนเต้ อโศก）は、カオヤイ、ナコーンラーチャシーマーに関連する赤ワイン。GranMonteの赤ワイン。	個別商品・銘柄	GranMonte	確認済み	https://www.granmonte.com/granmonte-wines.php
42	GranMonte The Orient Viognier	กรานมอนเต้ ดิ โอリエント วิโอเนียร์	検索補助音写（公式名は英字）	GranMonteの白ワイン	白ワイン	ワイン	カオヤイ、ナコーンラーチャシーマー	ヴィオニエ				専門店・ワイナリー	GranMonte	確認済み	公式ワイン一覧で商品とカオヤイGIを確認	掲載候補	GranMonteの個別商品。	https://www.granmonte.com/granmonte-wines.php	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%95%E0%B9%89%20%E0%B8%94%E0%B8%B4%20%E0%B9%82%E0%B8%AD%E3%83%AA%E3%82%A8%E3%83%B3%E3%83%88%20%E0%B8%A7%E0%B8%B4%E0%B9%82%E0%B8%AD%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	GranMonte The Orient Viognier（กรานมอนเต้ ดิ โอリエント วิโอเนียร์）は、カオヤイ、ナコーンラーチャシーマーに関連する白ワイン。GranMonteの白ワイン。	個別商品・銘柄	GranMonte	確認済み	https://www.granmonte.com/granmonte-wines.php
43	GranMonte Spring Chenin Blanc	กรานมอนเต้ สปริง เชอแนง บล็อง	検索補助音写（公式名は英字）	GranMonteの白ワイン	白ワイン	ワイン	カオヤイ、ナコーンラーチャシーマー	シュナン・ブラン				専門店・ワイナリー	GranMonte	確認済み	公式ワイン一覧で商品とカオヤイGIを確認	掲載候補	GranMonteの個別商品。	https://www.granmonte.com/granmonte-wines.php	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%95%E0%B9%89%20%E0%B8%AA%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%87%20%E0%B9%80%E0%B8%8A%E0%B8%AD%E0%B9%81%E0%B8%99%E0%B8%87%20%E0%B8%9A%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	GranMonte Spring Chenin Blanc（กรานมอนเต้ สปริง เชอแนง บล็อง）は、カオヤイ、ナコーンラーチャシーマーに関連する白ワイン。GranMonteの白ワイン。	個別商品・銘柄	GranMonte	確認済み	https://www.granmonte.com/granmonte-wines.php
