ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説	旧解説・ストーリー（未精査）
31	Corn Whiskey (Hmong)	วิสกี้ข้าวโพดม้ง	一般的なタイ語名称	山岳部(モン族)に関連する、トウモロコシを主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	山岳部(モン族)	トウモロコシ	40-50%	バーボン風	ロック、ソーダ割り、カクテル	村のみ		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%A7%E0%B8%B4%E0%B8%AA%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%82%E0%B8%9E%E0%B8%94%E0%B8%A1%E0%B9%89%E0%B8%87	วิสกี้ข้าวโพดม้งは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	モン族の村で作られる、トウモロコシを原料とした蒸留酒。製法はアメリカのムーンシャイン（密造酒）やバーボンに近い。荒々しいが、穀物の甘みが強い。
32	Manee Piti Chujai Rice Wine (มานี ปิติ ชูใจ)	มานี ปิติ ชูใจ	タイ語資料で確認	ウタイタニ/北に関連する、ハーブを主原料として収録されたSpirit。	Spirit	蒸留酒	ウタイタニ/北	ハーブ	35%	清涼感	ロック、ソーダ割り、カクテル	コンビニ		確認済み	北タイ商品として確認	掲載候補	มานี ปิติ ชูใจはサンカムペーンの伝統的な米の醸造酒として確認。	https://gooloochiangmai.com/?p=26811	https://www.google.com/search?tbm=isch&q=%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%B5%20%E0%B8%9B%E0%B8%B4%E0%B8%95%E0%B8%B4%20%E0%B8%8A%E0%B8%B9%E0%B9%83%E0%B8%88	มานี ปิติ ชูใจはサンカムペーンの伝統的な米の醸造酒として確認。	「心を癒やす」という名のハーブ酒。厳密には北タイ限定ではないが、北部での消費が多い。薬草の香りがするが、ヤードンほど薬っぽくなく飲みやすい。
33	Phaya Sua (Tiger King)	พญาเสือ	暫定音写・要確認	プレー(Phrae)に関連する、米/糖蜜を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	プレー(Phrae)	米/糖蜜	40%	辛口(Dry)	少量のストレート、ロック、水割り	リカーショップ		実在・表記とも要追加調査	実在商品・北タイ産は未確認	追加調査後に判断	พญาเสือという白酒銘柄は確認できるが、北タイ産という裏付けはない。	https://www.nationtv.tv/news/378865956	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%8D%E0%B8%B2%E0%B9%80%E0%B8%AA%E0%B8%B7%E0%B8%AD	พญาเสือという白酒銘柄は確認できるが、北タイ産という裏付けはない。	プレー県の硬派な地酒ブランド。甘さを抑えたドライな味わいで、キレがある。ロックで飲むと米の甘みが引き立つ。地元のおじさん達の愛飲酒。
34	Chiang Rai Coffee Liqueur	เหล้ากาแฟเชียงราย	一般的なタイ語名称	チェンライ(ドイチャン)に関連する、コーヒー/ラムを主原料として収録されたLiqueur。	Liqueur	リキュール・混成酒	チェンライ(ドイチャン)	コーヒー/ラム	20-25%	ビター/甘口	ロック、ソーダ割り、カクテル	カフェ/土産店		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2	เหล้ากาแฟเชียงรายは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	ドイチャン等のコーヒー豆を、地元のラムやスピリッツに漬け込んだリキュール。カルーアよりも甘さ控えめで、コーヒー本来の酸味や苦味が生きている。ミルク割り専用。
35	Honey Wine (Mead)	ไวน์น้ำผึ้ง	一般的なタイ語名称	チェンライ/チェンマイに関連する、蜂蜜を主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンライ/チェンマイ	蜂蜜	12%	極甘口/花香	よく冷やして少量ずつ	養蜂場/Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9C%E0%B8%B6%E0%B9%89%E0%B8%87	ไวน์น้ำผึ้งは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	北タイの豊かな森で採れた蜂蜜を発酵させたミード（蜂蜜酒）。ロンガンの花の蜜を使ったものは濃厚な香り、百花蜜は複雑な味がする。冷やしてデザート酒として。
36	Ruang Khao (Silver)	รวงข้าว	公式表記確認	全域に関連する、糖蜜/米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	全域	糖蜜/米	30-40%	工業的/クリア	ロック、ソーダ割り、カクテル	どこでも	Ruang Khao / ThaiBev	確認済み	実在商品・全国銘柄	別枠または補足扱い	รวงข้าวはThaiBevの白酒。北タイ限定ではない。	https://www.thaibev.com/aboutus/thaibev?select_about=1&select_tab=2	https://www.google.com/search?tbm=isch&q=%E0%B8%A3%E0%B8%A7%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7	รวงข้าวはThaiBevの白酒。北タイ限定ではない。	「稲穂」マークの、タイで最も売れている蒸留酒。味は工業的だが、タイの酒文化のベースラインを知るために避けて通れない一本。全てのヤードンのベースに使われる。
37	Mao Berry Wine	ไวน์มะเม่า	一般的なタイ語名称	北東部/北タイに関連する、マオベリーを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	北東部/北タイ	マオベリー	10-12%	赤ワイン風	冷やして食事と合わせる	Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%A1%E0%B8%B0%E0%B9%80%E0%B8%A1%E0%B9%88%E0%B8%B2	ไวน์มะเม่าは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	「マオベリー（山葡萄の一種）」のワイン。北東部（イサーン）が本場だが、北タイの市場でもよく見かける。ポリフェノールたっぷりで、シラーズのような重厚感がある。
38	Niyom Thai (Popular Thai)	นิยมไทย	公式表記確認	チェンマイに関連する、米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	チェンマイ	米	35-40%	バランス	ロック、ソーダ割り、カクテル	スーパー	Niyom Thai / ThaiBev	確認済み	実在商品・全国銘柄	別枠または補足扱い	นิยมไทยはThaiBev系の登録銘柄。北タイ限定ではない。	https://www.thaibev.com/aboutus/thaibev?select_about=1&select_tab=2	https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	นิยมไทยはThaiBev系の登録銘柄。北タイ限定ではない。	「タイの人気」という直球な名前の地酒。ラベルデザインがレトロで可愛い。味はクセがなく、初心者向けのラオ・カオとしてポジションを確立している。
39	Lao Khao (Plastic Bag)	เหล้าขาว	一般的なタイ語名称	村の雑貨屋に関連する、米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	村の雑貨屋	米	40%	強烈/謎	少量のストレート、ロック、水割り	村の雑貨屋		品目名のみ確認・銘柄要調査	一般酒・公開非推奨	差し替え推奨	袋入り白酒はブランドではなく非正規流通を連想させる。紹介項目としては差し替え推奨。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A7		ブランド名はない。村の雑貨屋で「20バーツ分」と言ってビニール袋に入れてもらう量り売りの焼酎。正体不明だが、その村で一番新鮮な地酒。※自己責任で楽しむ上級者向け。
40	Kilo Spirits (กิโลสปิริต)	กิโลสปิริต	暫定音写・要確認	クラビ/北タイ(ボタニカル)に関連する、スパイスを主原料として収録されたCraft Gin。	Craft Gin	蒸留酒	クラビ/北タイ(ボタニカル)	スパイス	40%	パンチあり	ロック、ソーダ割り、カクテル	バー/専門店		実在・表記とも要追加調査	実在商品・北タイ外	別枠または補足扱い	กิโลสปิริตは実在するが、タイ語資料ではクラビの事業者として紹介される。	https://www.thairath.co.th/news/local/2826846	https://www.google.com/search?tbm=isch&q=%E0%B8%81%E0%B8%B4%E0%B9%82%E0%B8%A5%E0%B8%AA%E0%B8%9B%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%95	กิโลสปิริตは実在するが、タイ語資料ではクラビの事業者として紹介される。	拠点は南部だが、北タイのスパイス（マクウェン等）を積極的に使用したクラフトジン。香りが非常に強く、トニックで割ってもスパイス感が消えない。
41	Phrae Rice Brandy	บรั่นดีข้าวแพร่	一般的なタイ語名称	プレー(Phrae)に関連する、米(熟成)を主原料として収録されたSpirit。	Spirit	蒸留酒	プレー(Phrae)	米(熟成)	35-40%	まろやか	ロック、ソーダ割り、カクテル	蒸留所直売		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%9A%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%A3%E0%B9%88	บรั่นดีข้าวแพร่は酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	プレー県の一部の蒸留所で作られる、木樽で熟成させた米焼酎。色は薄い琥珀色。焼酎というよりウイスキーやブランデーに近いまろやかさがある隠れた名品。
42	Passion Fruit Liqueur	เหล้าเสาวรส	一般的なタイ語名称	ドイカム/各地に関連する、パッションフルーツを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	ドイカム/各地	パッションフルーツ	10-15%	酸味/トロピカル	冷やして食事と合わせる	スーパー		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%A3%E0%B8%AA	เหล้าเสาวรสは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	パッションフルーツの果汁をたっぷり使ったお酒。酸味が強烈で、ソーダで割ると非常に爽やか。食前酒として優秀。
43	White Rabbit Vodka (ไวต์แรบบิต・オーストラリア産)	ไวต์แรบบิต วอดก้า	暫定音写・要確認	チェンマイに関連する、米/ハーブを主原料として収録されたCraft Spirit。	Craft Spirit	蒸留酒	チェンマイ	米/ハーブ	40%	フローラル	ロック、ソーダ割り、カクテル	バー/イベント		実在・表記とも要追加調査	北タイ商品ではない	差し替え推奨	White Rabbit Vodkaの流通品はオーストラリア産として案内され、北タイとの関係を確認できない。	https://www.songsaengsawang.com/product/199236-199217/white-rabbit-vodka-700ml	https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%95%E0%B9%8C%E0%B9%81%E0%B8%A3%E0%B8%9A%E0%B8%9A%E0%B8%B4%E0%B8%95%20%E0%B8%A7%E0%B8%AD%E0%B8%94%E0%B8%81%E0%B9%89%E0%B8%B2		チェンマイの有名バー「White Rabbit」が手がけるハウススピリッツ。カクテルベースにするために設計されており、余計な雑味がないクリーンな味わい。
44	Kaow Mak (カオマーク)	ข้าวหมาก	一般的なタイ語名称	全域(市場)に関連する、もち米/麹を主原料として収録されたSato(食べる酒)。	Sato(食べる酒)	醸造酒	全域(市場)	もち米/麹	2-3%	甘酒/デザート	冷やして食事と合わせる	市場(朝市)		品目名のみ確認・銘柄要調査	発酵食品・酒銘柄ではない	別枠または補足扱い	ข้าวหมากは甘酒状の発酵食品・発酵米。酒ブランドとして扱わない。		https://www.google.com/search?tbm=isch&q=%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B8%81		バナナの葉に包まれた「発酵したもち米」。厳密にはお菓子だが、アルコール分が含まれており、食べすぎると酔う。「食べる甘酒」のような存在。
45	Tamarind Wine	ไวน์มะขาม	一般的なタイ語名称	ペッチャブーン/北タイに関連する、タマリンドを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	ペッチャブーン/北タイ	タマリンド	10%	甘酸っぱい	冷やして食事と合わせる	Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%A1%E0%B8%B0%E0%B8%82%E0%B8%B2%E0%B8%A1	ไวน์มะขามは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	隣接するペッチャブーン県などが産地だが、北タイでも流通。タマリンドの甘酸っぱさが凝縮されており、梅酒に近い感覚で飲める。
46	SangSom (SangSom)	แสงโสม	公式表記確認	全域に関連する、糖蜜を主原料として収録されたRum。	Rum	蒸留酒	全域	糖蜜	40%	甘い/樽香	ロック、ソーダ割り、カクテル	どこでも	SangSom / ThaiBev	確認済み	実在商品・全国銘柄	別枠または補足扱い	แสงโสมは公式確認済みのタイ産ラム。北タイ限定ではない。	https://sangsom.com/th/story/	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B9%82%E0%B8%AA%E0%B8%A1	แสงโสมは公式確認済みのタイ産ラム。北タイ限定ではない。	「タイのウイスキー」と呼ばれるが実はラム酒。北タイの夜遊びには欠かせない。バケツ（Bucket）カクテルのベース。ハーブやスパイスの香りが添加されている。
47	Lao Khao Hom Mali	เหล้าขาวหอมมะลิ	一般的なタイ語名称	各地に関連する、ジャスミンライスを主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	各地	ジャスミンライス	40%	香り高い	ロック、ソーダ割り、カクテル	リカーショップ		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A1%E0%B8%B0%E0%B8%A5%E0%B8%B4	เหล้าขาวหอมมะลิは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	高級な「ジャスミンライス（香り米）」を100%使用した贅沢なラオ・カオ。炊きたてのご飯のような香りが鼻に抜ける。冷やしてストレートで飲むのがおすすめ。
48	Ginger Wine	ไวน์ขิง	一般的なタイ語名称	チェンライ(高地)に関連する、生姜を主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンライ(高地)	生姜	10-12%	スパイシー	冷やして食事と合わせる	農園/Otop		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%82%E0%B8%B4%E0%B8%87	ไวน์ขิงは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	高地栽培の生姜を使ったワイン。飲むと体が温まるため、冬の寒い時期に山岳部で好まれる。ホットワインにしても美味しい。
49	Hong Thong (Sai / Clear)	หงส์ทอง (ใส / เคลียร์)	暫定音写・要確認	全域に関連する、糖蜜を主原料として収録されたSpirit。	Spirit	蒸留酒	全域	糖蜜	35%	クリア	ロック、ソーダ割り、カクテル	コンビニ		未確認	裏付けなし・差し替え推奨	差し替え推奨	หงส์ทองのClear/Saiという公式商品を確認できない。通常のหงส์ทองとの重複。		https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B9%8C%E0%B8%97%E0%B8%AD%E0%B8%87%20(%E0%B9%83%E0%B8%AA%20%2F%20%E0%B9%80%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C)		「ホントーン」の透明バージョン。樽熟成させていないため、ラムの原酒に近い甘い香りがダイレクトに感じられる。カクテルベース向き。
50	Nam Khao (Moonshine)	น้ำข้าว	一般的なタイ語名称	山奥に関連する、米/果実を主原料として収録されたLao Khao(密造)。	Lao Khao(密造)	蒸留酒	山奥	米/果実	50%以上	火気厳禁	ロック、ソーダ割り、カクテル	入手不可		品目名のみ確認・銘柄要調査	一般的な酒種・固有銘柄ではない	追加調査後に判断	酒または原料の種類としては成立するが、この名称だけでは製造者・商品を特定できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7	น้ำข้าวは酒または原料・製法の一般名称として扱う。この名称だけでは特定の商品や製造者を示さない。	「白い水」の意。山奥でひっそりと作られる高濃度の蒸留酒。度数が高すぎて火をつけると燃える。村長クラスの許可がないと飲めない幻の酒。
